address,total_tokens_fdream,total_tokens_threebear,total_tokens_aistr,total_tokens_alch,total_tokens_ar,total_tokens_hard,total_holding_tokens,total_value_usd
0x25bc0752a6a87775d04ef93ddd00a5453d4d1e4a,0,46800474.874901064,0,0,0,0,46800474.874901064,43952.46261281028
0x2573e5efe8d28d6bacdbbab396ebd8ecf0ac0dd6,0.5857410191399455,0.21328630612308933,19587997.585771807,33543142.4773936,0.06782177263217182,0,53131140.930014506,38334.656206336425
0xfff5d872f617443449f4b40f54e7a04f99755cf9,11974868.330004834,1000000,10027659.044814376,14427380.432850916,16073550.159688309,0,53503457.96735844,28908.861490322266
0xb7802764002a0b15ff89300bbdf0de80a50c5d9b,3495478.9387991815,0,13168941.14285519,0,4302458.175223977,0,20966878.25687835,24248.66274967438
0x18b2a61d1a804fba6570ff186f05f5884194571b,6412069.686611546,959106.733737768,8254421.763822738,5832149.977414632,18293871.990254972,0,39751620.151841655,21706.129460124524
0x7798ba9512b5a684c12e31518923ea4221a41fb9,5071041.548411807,3677539.5461420966,5438852.707448786,1279799.6785584823,37968789.33518868,82071.40210585226,53518094.21785571,21077.136198294065
0xb7a7b148a90b277b4c21fc4f33c4734e095b5dab,0,0,11013460.61846664,0,0,1000219.9137218324,12013680.532188471,19953.54426376502
0x847c944f5b9b38f0c5331580cea67a7f1ec17388,0,0,11808955.224883419,0,0,0,11808955.224883419,19481.954254767326
0x3e717ce1db5e2efc30f2631ee94e7b54a289b581,0,0,11635724.466065932,0,0,0,11635724.466065932,19196.164897916395
0x1fb2152d7e793d6fedda20aac902ba92f7a6a745,0,0,11518072.925290313,0,0,0,11518072.925290313,19002.067969632364
0x7fad08e03608ccbad91d8b8c8b1d4f2b93de32fe,0,0,11118049.348320188,0,0,0,11118049.348320188,18342.12465720971
0xa3c0b3e2504235ff20bdb4770fc74c06d04c6a26,5027719.65094188,7304763.364278769,3969349.6243576133,3513068.7600695584,8335270.317298687,0,28150171.71694651,17980.379814118234
0xc25e850f6cede52809014d4eecca402eb47bdc28,0,0,10559677.643345615,0,0,0,10559677.643345615,17420.944772426257
0x183d438541fc36444ea95acf256a1b7c94f7f86f,0,18389201.929466017,0,0,0,0,18389201.929466017,17270.13908394626
0x626358e33076453160a58ebd03cbaef3449f1964,3395332.5337074352,1935675.8478033824,4462254.857212979,7989340.721633866,16578060.31438562,1279165.3797055027,35639829.654448785,17148.67557461131
0xadfc0bb2b0509ada5a7c0d31cc38103635901bf3,0,0,10293831.022924598,0,0,0,10293831.022924598,16982.361375402845
0x4f82e73edb06d29ff62c91ec8f5ff06571bdeb29,5298068.80231248,2682253.1937266174,5804346.782057717,8977466.864732323,550613.8525859605,92297.01603496728,23405046.511450067,16826.22917912795
0x98e9dcf926c2cdf099ddbc5d4e276e379151ac53,0,0,0,0,0,9164061.672552401,9164061.672552401,16344.780172048198
0xa55a9a19f5f5e18cbb6b5892d1659956663a1f35,7521490.845636175,0,5649642.8524611285,5524789.712749208,5648212.639750298,0,24344136.05059681,15216.028422514306
0xeea4b70c003d3cce9069b2ec34f4d1d7205f114f,0,0,9164324.546758108,0,0,0,9164324.546758108,15118.94559643784
0x8bc2a10797753f93814a58eb5244035365884760,4367772.470032787,1000000,6006493.739214931,5000000,5135000,0,21509266.209247716,14863.262583874905
0xa8f9a6138df799b9ff28ae5c4f9c4e722181fd2e,0.5367956014674549,15759756.51575036,0.9134510999087232,0.03222909427535906,0.8604719256625747,0,15759758.85869808,14800.7087788729
0xc38f858af24ec67ddb72a9c06ac17d31a1186dce,0,15681926.518679837,0,0,0,0,15681926.518679837,14727.613146052947
0x3fbe2fd902d278e3f05575149505f998445ea4b0,0,0,8283735.115427357,0,0,0,8283735.115427357,13666.183460269554
0x08850708d269ca28bec25d683af3fe5ec5a50417,0,0,8224574.209639529,0,0,0,8224574.209639529,13568.582102801418
0xf578b20020678ea4d5ee3700a03e7da6eacc6303,0,0,8049073.553523497,0,0,0,8049073.553523497,13279.047957822226
0x26ca66a755344c36214c227c3033861d5268506d,1434218.1752438121,94872.7712723415,5700000.286852149,7999999.538623325,6999999.805994171,0,22229090.577985797,12724.830834046496
0xaec348bad0e323ae6f196ecdac28fc5de227d78e,251036.54912964982,1000000,121997.22116217714,606473.1403549007,77484153.21823512,0,79463660.12888184,12654.464784743781
0x74c3c04d3abd27ab47cdf101e6361ceb1644cf75,0,0,7479944.600516832,0,0,0,7479944.600516832,12340.121184336307
0x70b913fa01b57fd5e6d82f77f50182118f027e8d,0,0,0,0,0,6820838.492029965,6820838.492029965,12165.46873262403
0x43e00720bcbe904f70194300b58c46a3613bef4c,0,12191078.398977606,0,0,0,0,12191078.398977606,11449.198303504072
0x4e4db3a4c6b0cbc2a49faaa3a4d67f19b6256247,0,0,6651563.977132711,0,0,0,6651563.977132711,10973.49110547051
0x176e6378b7c9010f0456bee76ce3039d36dc37c8,2062438.9203042202,0,3824947.7151438976,10322938.207837567,9014536.944200397,0,25224861.78748608,10593.162137921674
0xc4aeed54c0590188ca212f9c35885a528c1307b9,4674466.917615198,0,3433537.79888993,5742362.994119986,8767114.698944086,0,22617482.409569196,10507.278755910696
0x7b14ce5a0afc89adf25de76b95e3ecf87f0372f3,5000000,1000000,3750000,0,0,260700,10010700,10304.698147120647
0x79009e63334fcd0addee928125f7cd3948642ce5,0,0,6243191.989958981,0,0,0,6243191.989958981,10299.774911146844
0xb04fd91a2bf70292c6c961232a37b0c1596f6bc2,0,0,0,0,0,5752602.2037915755,5752602.2037915755,10260.190491715142
0x909efe1797a5b8a57991bc5f1e7081c15daf13e5,0,0,6157809.953873438,0,0,0,6157809.953873438,10158.91495448511
0xb879287b5e731dbfc2304b3135a32d949c2964ee,204476.4669818753,0,6012399.520524276,0,0,0,6216875.987506152,10030.011123185108
0x1b72f3894316e5c52a0d9f989fd76abe365b8854,4999999.999999412,2449275.3623188403,2050000,4499794.860422375,5000000,0,18999070.222740628,9930.850438952744
0x1991d88672906188699ce3ebfa591e3d96c767be,0,10552751.448301185,0,0,0,0,10552751.448301185,9910.570666933172
0x7a1f5091476e57063afdb11cb9e973565db3b19f,0,59066.42274178856,0,0,0,5466293.852056124,5525360.274797913,9805.0103951113
0x7338afb07db145220849b04a45243956f20b14d9,0,0,5875761.8151968485,0,0,0,5875761.8151968485,9693.60292385254
0xc920ffed02a1a0a697e097e9921bd55722e0419b,0,0,5803262.546053515,0,0,0,5803262.546053515,9573.996454181262
0x491f7f30f28b2524b53b1c628447743040b40806,2000000,2449275.3623188403,3750000,0,0,0,8199275.36231884,9572.418576400138
0x438040eef33012e761cc5746f437ee1eb602eb6c,16373175.079294305,0,0,0,4637445.563913725,0,21010620.64320803,9561.714375182119
0x58603b5d0b31dda7f50109ce1f82526e1ae290ab,0,3102784.6301267603,3750000,1000000,0,128699.99999999999,7981484.63012676,9509.56128717566
0x9667589d315756eb6ab36698712ab48576b73a7b,1114420.473846173,0,5108977.249287473,1231367.1298857704,1225138.9877138892,0,8679903.840733305,9432.633886668274
0x0034ee1f3f74064d6c1efa465b2a3ce6142a4096,0,10021603.454531465,0,0,0,0,10021603.454531465,9411.745336625405
0x1c4e90fc8bdade442aed58f8011db5a17a2e7199,0,0,5697704.169211159,0,0,0,5697704.169211159,9399.850356606355
0xb276f18576bb2045ade9707e0d00f153355f027e,0,0,5651896.676268879,0,0,0,5651896.676268879,9324.278939403706
0x52b231a6e448cab9bb88b4b7950482073e1c7e17,12000094.38311247,1002114.8184509152,0,10000296.262291122,0,0,23002505.463854507,9249.213722850136
0x7f448f0435803744bcda76afed4f17b0a6e0fb23,4528020.024084525,2251451.814162085,2001289.0211212197,4000049.6630975083,4001818.73629261,0,16782629.25875795,9173.66800122119
0xb3afdb14d4fb26e557f9d184a4ded5e0469e6207,2000000,1000000,3750000,0,5000000,128699.99999999999,11878700,9168.062442102824
0x27f25774ef101bdb47aa33deddd7f3e1cac4cf17,0,0,4783492.542045884,0,8268247.567758144,0,13051740.109804027,9094.118133964486
0x71c3315b18f1f120b8d00fed2af800da4a53c5f6,0,0,5500000,0,0,0,5500000,9073.68572076859
0x04d39a3c66e5c3d1507400e2623b0b4ee5ded5ad,1700000,1000000,3750000,0,6379607.366975017,0,12829607.366975017,8976.32242624184
0xc30cf256dfc731193a4fe2b02c89bf1815ec70a5,16456321.236397231,0,0,0,0,0,16456321.236397231,8932.395411009056
0x459e213d8b5e79d706ab22b945e3af983d51bc4c,14592.309180067992,2453353.1921625943,3749876.9999999995,2222.8171793139795,2651490.0275575398,0,8871535.346079515,8884.397812669156
0xee899b1ff2d0396a93734bca4241695de5bcdaf6,111467.85470139321,1043905.7793374516,3929999.5884860572,516121.30016533646,6757274.239267883,35271.71783263484,12394040.479790756,8662.717865881505
0xf0df547b76af0fef5f6959a96ec8a026132f236b,2000000,1000000,3689999.9999999995,0,3750000,0,10440000,8657.736188862793
0x558bb989f8997ae5788727f8784ff6d65cc73ff6,0,0,5179059.203065148,0,0,0,5179059.203065148,8544.21009779407
0x2d911e5490caf328a40c80657b56e32bd0e87100,0,0,5160698.311206804,0,0,0,5160698.311206804,8513.919013743955
0x223b5bedf46d1754f0c10df24647b14ea0984462,16622.401853877145,9000503.168952482,1489.3729593792284,35128.37408992952,32379.05527111393,0,9086122.373126782,8475.275765935165
0xc9840eb190206cdb2ebe50279e22d55d2864c67b,0,0,0,0,0,4721829.228766503,4721829.228766503,8421.730834188586
0x28aa4f9ffe21365473b64c161b566c3cdead0108,4198973.989748483,1000000,3100000,0,0,0,8298973.989748483,8332.5835276799
0xb79565d7717a200b2618dcfc4febefac09aa4648,0,0,5042628.020573955,0,0,0,5042628.020573955,8319.131248259904
0xdc583a3d6acfaf7f69f11e6c2d97b150b29d8752,5175124.335001979,0,2601644.8244969393,4000198.235043274,3290762.331717213,0,15067729.726259407,8297.528545971012
0x678ae5e8eada89399a11037599fb81be05ede9d1,15100736.93201223,0,0,0,0,0,15100736.93201223,8196.592138468211
0xbcdde4ad3dfff346875f21a5c61617a940f57c6a,2000000,0,3750000,0,5679237.396419703,0,11429237.396419704,8098.156218086116
0x89bfaf2436713e4d6b2618b2ff6294d60dbd4b61,1800980.2720932239,0.42969115916546924,3303037.7593382793,0,11246541.973130368,0,16350560.43425303,8062.433905749839
0x90fe6711e3c6d9e505f8baeab3a1e9af8cb1bf21,600000,1000000,3750000,280202.27216566715,3562500,0,9192702.272165667,8019.821624169832
0xd1ffda9c225ddee34f0837bf4d4a441bdd54c473,73392.34924242119,1000000,3750000,673846.5146354352,5000000,0,10497238.863877855,8013.683284708075
0x3b8d785c131ebda6118bbaca2066b0243a6728e8,4999999.999999399,1000000,2610850.3505170657,0,0,0,8610850.350516465,7960.395750515811
0xc0603f5cca3d74bc8049614f8089c5a165c3160e,0,0,4760380.597984057,0,0,0,4760380.597984057,7853.490446791232
0x4ea20b4ba9e19066141006cf4968cf541896f269,5000000,1500000,1043328.9836223659,5633787.1944473665,6772796.913120115,0,19949913.091189846,7839.892929170485
0xfa5f3eb3c4388d8793fc6cffaf016b3eee10b17a,0,0,3745775.6850539804,0,0,856353.4972322898,4602129.18228627,7707.004439480038
0x47fdb303e49707b4ca507387099f4d954c297df8,41767.490784773756,1000000,3750000,0,0,260700,5052467.490784774,7613.398392101636
0x432206206e58ea307b4f5858a2e2055afa5a471f,799999.9999999999,1000000,3750000,0,0,0,5550000,7559.984900098606
0x61abd70249ab1626c4500b4cd2156d1f1a0406fa,1929498.5515492298,3021555.9398505017,1144121.3616499074,2828828.7438491504,8002804.445151623,0,16926809.042050414,7444.040589161181
0x4325d09777f68f78c5712cdccc953f739b956090,0,1028042.2809148453,3891557.85880271,0,0,0,4919600.139717556,7385.621981786845
0xeae5886c57fad76d569381b3812cd31348b7c3d0,0,0,4476005.734970371,0,0,0,4476005.734970371,7384.339876996177
0x1050bee38f353d9e7ab027665a508e33ac7e8e30,1750000,1000000,3163608.87434406,0,0,128699.99999999999,6042308.87434406,7337.780085096507
0xdd763f444e0b02da3d36d9980e179ad9b1451769,0,0,4424180.820885999,0,0,0,4424180.820885999,7298.841152831191
0x008aff58c54bd90685e9c1373d7147f85a0f00f3,2000000,0,3750000,0,0,0,5750000,7272.192262916096
0xb1b3ad8847bd0bb8d106f3d3cf73779546ef88d2,2000000,1000000,2500000,252305.8336617365,6493395.652510558,0,12245701.486172296,7138.783215333977
0xd33cce1423c60216590564f50e3a810a05669afb,0,1000000,3750000,0,0,0,4750000,7125.749555141783
0xf452146310099268aeedd42f2792793b8fdd87ad,0,1000000,3750000,0,0,0,4750000,7125.749555141783
0xf7328745bc127759e33bd6c73973db10a156d55d,0,0,4293073.567654829,0,0,0,4293073.567654829,7082.5455143706695
0x8096840ed02438d817f7a0037c59e1e51e54d6aa,0,0,2880352.3843888766,7362186.910586786,6643360.677914751,0,16885899.972890414,7039.18076005112
0x97aca361eb8d698fa4d7bcbe0b96610dc6aad56d,506426.18816618726,0,4036459.032996946,0,0,0,4542885.221163133,6934.078040900396
0x78ec5b149f183541ff6de4037f9146da7293e3e8,0,0,3650000,0,5000000,56493.7893005197,8706493.78930052,6849.56721649224
0x147d1ba1208910cdd326ee9fb8d8cd9e87e66473,0,0,4134919.094093841,0,0,0,4134919.094093841,6821.628425565941
0x80e8bba3082f96832851266be6daaae3bf5d48eb,0,1000000,3562500,0,0,0,4562500,6816.419360115581
0xa7e5c89e366ad21cd6aeddd7cc423a8492913754,0,0,4091743.593692473,0,0,1326.647394157946,4093070.241086631,6752.765340630654
0x4a795509a521d22123a66317708698e81d147714,1879606.2079874424,0,3464000,0,0,0,5343606.207987443,6735.011555679588
0xc7dc4e39ab2d930552f5fd90a9b07dbb2366df16,0,6624312.726162603,0,0,0,260700,6885012.726162603,6686.172197603354
0xb7c01d2d14538df42534a016870bb995f567fa70,12157248.428922873,0,0,0,0,0,12157248.428922873,6598.883706573899
0x21bf241ae61fff5ab73944ccf7e70bcee33692a5,0,0,3974105.881729854,0,0,0,3974105.881729854,6556.325053068116
0x76e115f2eb0624cbe47c7a87ceb87045474193b6,0,5734066.3779061595,0,0,7593341.487975891,0,13327407.86588205,6489.466575679807
0xf55b2a49f3b4923c1ae7e636efa2a605cfe8cb3d,1500000,0,2900000,799999.9999999999,5000000,0,10200000,6469.232656756401
0x0920c2148cacc810fe7b16b04055ca2e31950d11,32192.497408100655,1000000,3304000,0,0,0,4336192.4974081,6407.430031510743
0xee3caa136d8fa7cbc41dff619ce5c65986c1167c,0,118294.77668958594,3781011.0193515103,0,0,0,3899305.796041096,6348.860697557181
0x612adf66622e4d040176c9d0a58a76294e058a1d,0,6755675.004532348,0,0,0,0,6755675.004532348,6344.562824516269
0x22f1dc11c84afc6553e44beae0ae9f9252a7f207,0,0,3833983.3147788467,0,0,0,3833983.3147788467,6325.156301267972
0xd9e391abe558d10f7b9e5b99f3dd61cc37921782,11636181.440483214,0,0,0,0,0,11636181.440483214,6316.051577235514
0x735d4fb602c51fe16910548a513c85db5a6605ee,0,0,3787493.509759864,0,0,0,3787493.509759864,6248.459232183961
0x02c939f8c649108ab50418a4451730490bff2725,0,0,3760403.2147677396,0,0,0,3760403.2147677396,6203.766718940062
0xdd4021bc586ab5a47b500e33e8f16686b3ec60d7,0,0,3750000,0,0,0,3750000,6186.603900524038
0x8d4e8f071b27b8e201a713858162dc6cf7272367,0,0,3750000,0,0,0,3750000,6186.603900524038
0x62010bd90c9b427b6d45bbde1db16bb50e6177b3,0,0,3750000,0,0,0,3750000,6186.603900524038
